iso3,country,group,f2_eci,f3_rents,f3_rents_imputed,f5_gov
ARG,Argentina,South America,-0.10801611,2.65308888983975,False,-0.258452733333333
BOL,Bolivia,South America,-1.3805603,9.46769419569564,False,-0.9018833333333333
BRA,Brazil,South America,0.3576947,7.94111199933246,False,-0.20960956666666664
CHL,Chile,South America,-0.19776286,16.9044168802743,False,0.8333105333333334
COL,Colombia,South America,0.10848174,5.32396445388134,False,-0.100735
ECU,Ecuador,South America,-1.1279228,6.69943720189179,False,-0.36578136666666666
GUY,Guyana,South America,-1.1006831,33.6832711741997,False,-0.3649682
PRY,Paraguay,South America,-0.5650342,1.34701587848651,False,-0.4303352333333333
PER,Peru,South America,-0.7144535,12.7247082349187,False,-0.16411086666666672
SUR,Suriname,South America,-0.10530954,9.59272209392741,False,-0.3749042999999997
URY,Uruguay,South America,-0.049542814,1.92773520463627,False,0.8373801666666667
VEN,Venezuela,South America,-1.1562555,11.846508,True,-1.9714251666666665
NOR,Norway,reference,0.853565,10.0482763904291,False,1.8997247666666663
AUS,Australia,reference,0.083272085,13.3578752832739,False,1.6862271666666668
CAN,Canada,reference,0.85784215,4.94905581435186,False,1.6212753
KOR,South Korea,reference,1.7700119,0.049812574781783,False,1.2607804
QAT,Qatar,reference,0.0018628527,27.2897873992471,False,0.8235123333333334
