country,co2_g_mj_2000,co2_g_mj_2024,co2e_g_mj_2000,co2e_g_mj_2024,olade_indicator_co2e_g_mj_2000,corrected,pct_change,ch4_share_pct_2024
Uruguay,48.048,29.705,48.1,29.735,48.1,False,-61.763,0.099
Paraguay,22.141,33.373,22.166,33.409,22.166,False,33.654,0.109
Brazil,48.174,44.008,48.219,44.16,48.219,False,-9.191,0.344
Chile,64.254,61.819,64.307,61.873,64.307,False,-3.933,0.088
Bolivia,67.44,65.217,67.493,65.274,67.493,False,-3.4,0.086
Colombia,61.38,69.232,61.405,69.285,111.078,True,11.374,0.077
Argentina,73.551,69.793,73.604,69.843,73.604,False,-5.384,0.072
Peru,59.54,78.034,59.595,78.085,59.595,False,23.679,0.066
Ecuador,80.288,81.094,80.367,81.171,80.367,False,0.99,0.094
Suriname,90.744,81.893,90.845,81.984,90.845,False,-10.808,0.111
Guyana,59.663,82.922,59.731,83.015,59.731,False,28.048,0.112
Venezuela,89.841,116.471,89.905,116.516,89.905,False,22.839,0.038
