iso3,country,type,gdp_pc_2021,gdp_growth_mean,gdp_growth_volatility,inflation_volatility,inflation_mean,gini,unemployment_mean
ARG,Argentina,Diversifying,12549.2811699342,1.1990035438042324,5.568575297169964,7.207970186375245,44.562500356376255,42.4,8.312583333333334
BOL,Bolivia,Green resource trap,3011.55110807557,3.4758642395827137,5.27264956395259,2.441836894027175,3.7251381445798253,40.9,3.487083333333333
BRA,Brazil,Diversifying,8799.22844579944,1.3270068512504993,3.259065188883255,2.0057672405555906,5.8115582227293885,52.9,10.092083333333333
CHL,Chile,Managed extraction,14051.4713630677,3.199213739507902,4.0191927219656725,1.0367534880640965,3.0956488836370526,47.0,7.672499999999999
COL,Colombia,Diversifying,6457.16921807086,3.3964432261312134,3.999276533884015,1.4152021825819228,3.6145878024240123,55.1,10.462166666666667
ECU,Ecuador,Green resource trap,5815.09477390949,3.043313396922892,4.931450669793659,1.923547081128899,2.1158468728295317,45.8,3.9462499999999996
GUY,Guyana,Green resource trap,10711.9973374148,8.459471429988609,11.545492939436912,1.692561833373717,2.0826772647867253,,13.06883333333333
PRY,Paraguay,Constrained transition,6278.11006663809,3.8585398363891237,3.385377091254233,1.5673001921275251,4.033353709000263,42.9,5.53025
PER,Peru,Green resource trap,6547.84718181776,3.9498126188732745,5.410616998968154,0.8473541513351432,2.8895173347393937,40.1,3.9124166666666667
SUR,Suriname,Managed extraction,6973.89941868115,-0.1796579003471106,5.785507226622496,20.41483078458725,21.327925533971438,,7.718583333333332
URY,Uruguay,Diversifying,17416.0052208869,2.3134201655460687,3.6858927196740523,1.0061597659860881,8.154867915013199,40.8,7.75325
VEN,Venezuela,Green resource trap,1276.62381449407,-9.127271816979883,11.886230424217215,78.62763505117488,79.26305289049262,,6.4495000000000005
