iso3,country,group,f1_fossil,f2_eci,f3_rents,f3_rents_imputed,f5_gov,axis_dependence,axis_capacity,type,border_case,cluster_hc
ARG,Argentina,South America,86.87596579650447,-0.10801611,2.65308888983975,False,-0.258452733333333,-0.05636727900190053,0.7540748605104253,Diversifying,True,4
BOL,Bolivia,South America,84.79862797922205,-1.3805603,9.46769419569564,False,-0.9018833333333331,0.6419131017602294,-2.454202980306153,Green resource trap,False,1
BRA,Brazil,South America,51.550457703499006,0.3576947,7.94111199933246,False,-0.2096095666666666,-1.3160461700705828,1.6604858791198178,Diversifying,False,3
CHL,Chile,South America,71.45123123054948,-0.19776286,16.9044168802743,False,0.8333105333333334,0.8118420639735489,2.1589980995917664,Managed extraction,False,4
COL,Colombia,South America,77.08794646240626,0.10848174,5.32396445388134,False,-0.100735,-0.26221810880410334,1.3691131575549824,Diversifying,True,4
ECU,Ecuador,South America,84.3067411038516,-1.1279228,6.69943720189179,False,-0.3657813666666666,0.2868768755992603,-1.2314847161589897,Green resource trap,True,1
GUY,Guyana,South America,90.57912703324853,-1.1006831,33.6832711741997,False,-0.3649682,3.82658617173491,-1.181399813455114,Green resource trap,False,2
PRY,Paraguay,South America,29.96514424016049,-0.5650342,1.34701587848651,False,-0.4303352333333333,-3.2525888267294545,-0.31322081434950394,Constrained transition,True,3
PER,Peru,South America,73.03301408354332,-0.7144535,12.7247082349187,False,-0.1641108666666667,0.39999491643798946,-0.1996663706781368,Green resource trap,True,1
SUR,Suriname,South America,88.365105457051,-0.10530954,9.59272209392741,False,-0.3749042999999997,0.8473412089201509,0.591889884089451,Managed extraction,False,4
URY,Uruguay,South America,43.49374292456415,-0.049542814,1.92773520463627,False,0.8373801666666667,-2.4607029545184034,2.431016970344408,Diversifying,False,3
VEN,Venezuela,South America,77.4806667877335,-1.1562555,11.846508,True,-1.9714251666666665,0.5333690006983665,-3.585604156262952,Green resource trap,False,1
